amount_tsh,funder,gps_height,installer,longitude,latitude,wpt_name,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type,management_group,payment_type,water_quality_2,quantity_group,source_class,waterpoint_type_group,status_group
0,6,1365,6,36.94745079,-3.35002587,6,5,0,130,1,0,1,2002,3,4,0,0,1,1,0,1
0,6,1538,6,34.76272634,-4.30776106,6,0,18,225,1,4,1,2004,0,4,3,0,0,0,1,0
0,6,1788,6,34.89725735,-9.2035221,6,6,3,50,1,3,1,2010,12,3,3,0,0,0,1,0
0,1,0,1,30.71609028,-1.2857798,6,4,4,0,1,4,1,1994,3,4,3,0,2,0,2,1
0,6,1366,1,34.55789311,-8.88959406,6,6,3,54,1,6,1,1978,3,4,2,0,2,1,0,1
0,1,1694,1,29.76800862,-4.47180947,2,3,5,1,1,7,0,2004,9,3,3,0,2,1,0,1
200,1,303,4,35.81898147,-8.93495018,6,6,11,280,1,2,1,1995,15,4,5,3,1,0,1,1
0,3,1565,3,34.657034499999995,-1.88801974,6,4,9,200,1,1,1,1991,8,4,1,0,1,0,1,1
500,6,1153,1,30.41995839,-4.27996794,6,3,5,1,1,7,0,2009,8,4,2,0,0,0,1,0
500,6,2049,6,34.68047144,-9.3264772,6,6,3,75,1,6,1,2008,3,4,5,0,0,0,0,0
0,1,905,4,36.93165941,-3.55703413,6,5,0,140,1,0,1,1974,3,4,0,0,1,0,0,0
0,1,406,1,38.58082367,-4.8348356,6,5,20,900,1,0,0,1992,3,4,3,0,2,1,0,1
0,6,0,6,32.25500494,-3.36190077,6,3,17,0,1,0,1,2004,8,4,0,0,1,0,1,0
0,6,1331,6,36.75793224,-3.3747906000000003,6,5,0,360,1,6,1,2011,3,4,0,0,0,0,0,0
0,4,0,1,33.53890869,-3.36161167,6,0,17,0,1,4,0,2004,8,4,2,0,1,0,1,0
0,6,1185,6,34.19057512,-1.60969058,1,4,9,544,1,9,0,2002,3,2,0,0,0,1,1,1
0,6,0,6,32.18551701,-2.37877187,6,4,13,0,1,0,1,1994,8,4,3,0,3,0,1,1
0,6,0,6,31.55890304,-2.02646851,6,4,4,0,1,2,0,1994,3,4,3,0,1,0,0,1
50,6,159,6,38.35356668,-6.63869562,6,8,14,20,0,6,1,2008,6,3,6,0,0,1,0,1
0,6,212,6,38.96294513,-10.47656619,6,7,7,280,1,0,1,2006,5,4,3,1,0,0,1,1
200,2,18,6,38.89040167,-6.55790327,6,8,14,40,1,8,1,1987,6,4,5,0,0,1,0,1
0,6,1560,6,35.51217404,-4.44803987,6,0,8,221,1,0,1,2008,3,4,3,0,1,0,0,0
0,3,0,1,31.45311103,-1.19438963,6,4,4,0,1,0,1,1994,8,4,3,2,1,0,1,1
250,2,1471,6,30.21673046,-4.34106206,6,3,5,950,1,7,1,2007,3,4,5,0,0,1,0,0
500,1,1274,2,30.12668109,-4.23637808,6,3,5,1430,1,7,0,1978,6,4,1,0,0,0,0,1
0,6,0,6,33.0795039,-3.00965923,6,4,13,0,0,3,1,2004,14,3,6,3,0,0,0,0
0,6,0,6,33.23583842,-3.56601953,6,0,17,0,0,0,0,1994,7,4,3,0,0,1,0,1
0,1,98,1,39.04298326,-4.99423737,6,5,20,110,1,0,1,1962,9,4,3,0,2,0,2,1
0,4,1128,1,34.56343795,-4.09374985,6,0,18,256,1,4,1,2010,0,4,3,0,0,0,1,0
0,6,1352,6,30.65026741,-3.55486258,6,3,5,150,1,0,0,2002,3,4,0,0,1,0,3,0
10,6,1409,6,37.17489041,-3.21646394,6,5,6,75,1,5,1,1999,3,4,6,0,0,0,0,0
1000,6,744,6,37.61640658,-3.56996907,6,5,6,320,1,0,1,2010,3,4,5,0,0,0,0,0
0,6,0,1,33.69790014,-3.26949691,6,0,17,0,1,4,0,2004,8,4,1,0,0,0,1,0
0,3,0,3,31.767300899999995,-3.0251057,6,4,4,0,1,0,1,1994,15,4,1,0,0,0,1,1
0,6,1295,6,36.90832887,-3.33074309,6,5,0,120,1,0,1,2004,3,4,0,4,1,1,0,1
0,1,1207,6,36.87553547,-3.3445666,6,5,0,120,1,0,1,2005,3,4,0,0,0,1,0,0
0,6,0,6,31.48904738,-3.26790435,6,3,4,0,1,0,1,2004,4,4,3,2,0,0,1,0
0,2,0,6,33.23267014,-9.26648533,6,1,10,0,0,0,0,2004,3,4,2,0,3,1,0,0
0,6,0,6,36.55702857,-6.37279744,1,8,2,0,1,0,1,1994,3,4,6,0,0,0,0,1
0,3,0,1,31.66327256,-1.08048548,6,4,4,0,1,0,1,1994,3,4,2,0,1,0,0,1
0,6,445,1,37.48747402,-6.82950072,6,8,11,90,1,0,1,1997,8,4,3,0,0,0,1,0
0,3,1191,1,33.35647131,-2.06349369,1,4,9,804,0,9,0,2000,3,2,0,0,2,1,0,1
0,3,1339,3,34.44864527,-2.02266257,6,4,9,600,0,1,1,1997,3,1,3,0,1,1,0,0
50,6,1348,6,37.02381013,-5.5923447,6,5,8,1,1,0,1,2004,14,4,6,1,1,0,0,1
0,3,0,6,31.57239755,-1.42926609,6,4,4,0,1,0,1,2004,9,4,3,0,0,0,2,0
0,6,0,1,31.4647567,-2.77016894,6,3,4,0,1,0,1,1994,3,4,3,0,0,0,0,1
0,6,1302,6,36.77862138,-2.55618033,1,0,0,370,1,9,1,2012,3,2,1,0,3,0,0,0
0,6,0,1,32.071081,-5.06726885,6,3,19,0,0,0,1,1994,9,4,3,0,2,0,1,1
500,6,2050,6,34.64835709,-9.31731152,6,6,3,305,1,6,1,2008,3,4,5,0,0,0,0,0
0,4,0,1,32.95155946,-3.77939282,6,0,17,0,1,2,1,1994,8,4,0,0,0,0,1,1
0,3,0,3,32.99370088,-2.69044203,6,4,13,0,1,0,1,1994,9,4,3,5,2,0,2,1
0,3,0,3,31.6012707,-2.93012242,6,3,4,0,1,0,1,2004,8,4,3,0,0,0,1,0
20,1,976,1,36.84150658,-3.49366766,6,5,0,150,1,0,1,2004,3,4,6,0,1,0,0,0
0,4,0,1,32.54432125,-4.07660522,6,3,17,0,1,2,1,2004,9,4,0,2,1,0,2,0
0,1,1282,1,38.32726235,-4.4646702000000005,6,5,20,1,1,0,1,2008,3,4,3,0,0,0,0,0
0,6,0,6,32.41352249,-9.09504292,6,2,10,0,1,0,0,1994,8,4,3,0,3,0,1,1
30,6,11,6,39.88898115,-10.13363156,6,7,7,1,0,0,0,2006,8,4,6,0,1,0,1,1
0,6,0,1,31.19411613,-3.06136744,6,3,4,0,1,0,1,2004,8,4,3,0,0,0,1,0
0,6,0,6,31.64732214,-2.78450823,6,4,4,0,1,0,1,2004,3,4,3,0,0,1,0,0
0,6,0,6,33.86084491,-9.59608383,6,1,10,0,1,7,1,1994,3,3,3,0,2,1,0,1
20,5,471,6,37.82346185,-6.771698700000001,6,8,11,150,1,0,1,2004,3,4,5,0,0,1,0,0
0,6,0,6,32.78502522,-5.41803094,6,3,19,0,1,0,1,1994,4,4,3,0,2,0,1,1
0,1,385,4,37.44310991,-6.29976667,1,8,11,1,1,0,1,1974,14,4,0,0,1,0,0,0
0,6,350,1,37.88687839,-6.86199999,3,8,11,1,1,0,1,1972,3,4,3,3,2,0,0,1
50,6,12,6,39.1857105,-6.89259326,6,8,1,150,1,3,0,2004,14,3,6,0,0,0,0,0
0,6,1,6,39.6002343,-10.02772132,6,7,7,200,1,2,1,1987,9,4,0,1,0,0,2,1
0,6,1589,6,34.45547821,-1.24644694,6,4,9,1600,1,2,1,2008,9,4,0,0,0,0,3,0
0,6,-15,6,39.52711433,-6.98874758,3,8,1,50,1,0,0,1970,7,4,3,1,2,0,2,1
0,3,1481,3,34.56387749,-1.72068493,6,4,9,400,1,1,1,1996,15,4,0,0,0,0,1,1
0,6,1595,6,29.80857829,-4.46052001,6,3,5,590,1,7,0,1996,9,4,3,0,0,0,2,0
400,6,531,6,37.41877342,-10.91557638,6,7,16,1,0,0,0,2009,13,4,5,0,0,0,1,1
0,6,0,6,33.54480544,-8.928838699999998,6,6,10,0,1,0,1,2004,3,4,2,0,1,1,0,0
0,6,0,1,34.08915375,-3.12214007,6,4,17,0,1,4,0,2004,15,4,1,0,0,0,1,0
1000,6,1562,6,34.94546531,-8.86866011,6,6,3,250,1,0,0,2009,8,4,2,0,0,0,1,0
0,6,1481,1,32.06591365,-8.68875072,6,2,15,450,1,0,0,1986,9,4,3,0,0,0,2,1
500,6,1445,1,34.68050209,-8.84136926,6,6,3,80,1,6,1,1978,3,4,5,0,0,1,0,0
1200,1,1242,1,30.26413388,-4.52564753,6,3,5,560,1,7,1,1977,3,4,4,0,0,1,0,0
0,6,0,1,33.16358148,-2.54645921,6,4,13,0,1,0,1,2004,0,4,3,1,0,0,1,0
0,6,1231,6,35.0800974,-5.32212056,6,0,18,2500,1,0,0,2009,7,4,0,0,0,0,0,0
0,6,0,6,33.43789893,-4.42476057,6,0,19,0,1,3,0,2004,14,3,3,1,0,0,2,0
0,1,1076,1,30.90475149,-5.10070113,6,3,5,1050,1,0,1,2010,9,4,0,0,0,0,2,1
20,6,262,6,39.08229758,-10.9753631,6,7,12,36,1,0,1,2004,3,4,6,0,3,0,0,0
0,2,935,6,35.98642477,-10.73055089,6,7,16,540,1,0,1,1983,3,4,2,0,3,1,0,0
0,6,823,1,31.7799078,-7.80637606,6,2,15,300,1,0,1,1972,3,4,3,0,2,1,0,1
40,6,217,6,38.33493265,-6.45446888,6,8,14,12,1,6,1,2010,6,3,6,0,0,1,0,0
500,6,253,4,36.70397575,-8.12006358,6,6,11,450,1,2,1,1997,15,4,5,0,1,0,1,0
300,6,665,6,36.70991445,-6.64260892,6,8,11,632,1,0,1,1997,9,4,5,1,1,0,2,1
500,1,1783,1,31.52365762,-8.17864388,6,3,15,50,1,0,1,1972,3,4,2,0,0,1,0,0
0,6,961,6,35.7005422,-3.81945703,6,0,8,245,1,0,1,2012,8,4,3,4,0,0,1,0
0,6,0,6,33.20344175,-9.07440778,6,2,10,0,0,0,0,2004,8,4,2,0,3,0,1,0
0,1,183,1,38.76743559,-5.17227682,6,5,20,600,1,0,0,2008,3,4,3,0,3,0,0,1
0,6,1589,6,36.8272342,-3.18469585,6,0,0,120,1,0,1,2006,3,4,0,0,0,0,0,0
0,6,1485,1,32.06802448,-8.68938706,4,2,15,59,1,0,0,1986,4,4,3,0,0,0,1,1
0,1,0,2,33.01476219,-8.43639754,1,2,10,0,1,0,1,1994,4,4,6,0,0,0,1,1
0,6,0,1,31.51225219,-1.13959123,6,4,4,0,1,0,1,2004,15,4,3,0,1,0,1,0
30,6,128,6,38.34276796,-6.60873088,6,8,14,50,1,6,1,2010,6,4,6,0,0,1,0,1
25000,6,1768,6,34.71600987,-9.12973959,6,6,3,25,1,6,1,1987,3,4,5,0,0,1,0,0
50,6,232,6,39.77883219,-10.60671713,1,7,12,150,1,0,1,2011,7,4,6,0,0,0,0,0
1500,1,1567,2,37.89233459,-4.36699297,6,5,6,500,1,7,1,1978,3,4,4,0,1,0,0,0
0,1,1607,6,37.59718978,-3.08465534,6,5,6,1,1,8,1,1962,3,3,5,0,1,0,0,1
50,6,1135,1,33.50998861,-2.15235319,1,4,9,100,1,0,1,1978,3,2,6,0,0,1,0,1
0,1,0,6,30.75176889,-2.54922891,6,4,4,0,1,0,0,2004,3,4,3,0,0,0,0,0
500,6,1768,6,34.89930829,-9.20451104,6,6,3,40,1,0,0,2010,12,4,5,0,0,0,1,0
500,6,1593,6,34.920323100000005,-8.83707693,6,6,3,40,1,0,0,2009,8,4,2,0,0,0,1,0
0,6,0,6,32.85025146,-9.01509636,6,2,10,0,1,0,0,2004,3,4,2,0,0,0,2,0
0,6,1315,6,36.78231907,-3.36937009,6,5,0,400,1,6,0,2012,3,4,0,0,1,1,0,0
10,1,205,6,38.23544422,-6.63641192,6,8,14,100,1,0,1,1982,6,4,6,0,0,1,0,1
10,6,1685,6,35.88015611,-3.25083059,6,0,0,200,1,0,1,2009,3,4,6,0,0,1,0,0
0,6,1397,1,34.5688417,-8.91716508,6,6,3,20,1,6,1,1978,3,4,2,0,2,1,2,1
0,2,0,6,33.82643865,-9.52747959,6,1,10,0,1,0,1,1994,3,4,3,0,2,0,0,1
0,6,1232,6,30.35823687,-5.56948805,6,3,15,100,1,7,1,1985,9,3,3,0,0,0,1,1
0,2,0,6,33.93868915,-9.61165417,6,1,10,0,1,0,1,1994,3,4,3,0,2,0,0,1
0,6,0,6,33.10016187,-3.81255032,6,4,17,0,1,4,1,2004,8,4,3,0,3,0,1,0
500,1,1897,1,36.65057433,-3.2526794,6,5,0,150,1,0,1,2000,3,4,2,0,0,0,0,0
0,6,1297,6,36.97044487,-3.34985393,6,5,0,90,1,0,1,2002,3,4,0,0,1,1,0,1
750,6,1071,6,29.88356158,-4.59970578,6,3,5,570,1,7,1,2005,3,3,5,0,1,1,0,0
0,6,120,1,38.93735313,-6.70497547,6,8,14,1,1,0,1,1988,7,4,3,0,1,1,0,1
0,6,1201,1,33.35805782,-2.07269915,1,4,9,1,0,9,0,2009,3,2,0,0,3,1,0,0
0,6,966,6,37.08879175,-6.01081035,6,8,11,700,1,0,1,1996,15,4,3,0,0,0,1,0
0,6,1481,6,34.64498869,-4.74212404,6,0,18,111,1,2,1,2005,0,0,0,3,0,0,1,0
0,6,0,1,32.16614798,-3.64794666,2,3,17,0,1,9,1,2004,8,2,0,0,3,1,1,0
0,6,0,6,32.91684591,-2.84922488,6,4,13,0,1,0,1,2004,0,4,3,0,0,0,1,0
20,6,0,6,38.4687019,-5.13246175,6,5,20,120,1,0,1,1999,8,4,6,0,1,0,1,0
10,6,508,6,39.33063258,-10.99280378,6,7,12,630,1,0,0,2006,3,4,6,0,1,0,0,1
0,6,1556,6,35.53081946,-4.50268446,6,0,8,270,1,0,1,2008,3,4,3,0,2,0,0,1
0,2,0,6,33.333789,-8.95920754,6,2,10,0,1,0,1,1994,3,4,2,0,2,1,0,1
0,6,0,6,33.2773436,-4.20136566,6,0,19,0,1,0,0,1994,9,4,2,0,3,0,2,1
0,1,102,2,38.97388970000001,-5.12551864,3,5,20,100,1,0,1,1994,8,4,3,0,0,0,1,1
50,6,1261,6,36.83283068,-6.09538776,6,8,11,250,1,0,1,2006,14,4,6,0,0,0,0,1
0,3,0,3,31.73311371,-2.47636967,6,4,4,0,1,0,1,1994,9,4,6,0,1,0,2,1
0,6,0,5,35.62759083,-6.03113722,6,0,2,0,1,0,0,1994,7,3,6,0,2,0,0,1
0,6,0,1,39.09126059,-4.9549518,6,5,20,200,1,0,1,2009,0,4,0,0,3,0,1,1
0,1,165,1,38.70152604,-5.13617489,6,5,20,1000,1,0,0,2004,3,4,3,0,1,0,0,0
6,6,1421,1,37.43964118,-3.31993627,6,5,6,30,1,5,1,2008,3,4,6,0,0,0,0,0
0,6,-19,6,39.24417821,-7.36829284,6,6,14,500,1,0,0,2007,15,4,3,0,2,0,1,1
500,6,1244,6,34.63225535,-8.72031632,5,6,3,55,1,6,1,2009,3,4,5,0,3,1,0,0
100,6,357,6,38.79470824,-10.57239234,6,7,12,1700,1,0,1,1975,7,4,6,1,0,0,0,0
0,1,1612,6,37.5816604,-3.2649629,6,5,6,1,1,6,1,1960,3,4,3,0,1,0,0,1
0,4,0,1,32.50515031,-3.91165507,6,3,17,0,1,2,1,1994,9,4,0,2,2,0,2,1
0,6,64,6,39.76790839,-10.37243798,6,7,12,800,1,2,1,1986,9,4,0,0,0,0,2,1
0,6,1536,1,31.04447027,-7.50921781,6,3,15,1,1,0,0,1987,9,4,0,3,4,0,2,1
0,3,0,1,31.45223354,-1.29523982,6,4,4,0,1,0,1,1994,9,4,3,0,1,0,2,1
0,6,844,6,35.06630886,-5.85530454,6,0,18,250,1,0,0,1974,7,4,3,0,0,0,0,1
0,6,0,6,35.63768716,-6.32118,6,0,2,0,1,0,0,1994,7,4,6,0,2,0,0,1
0,6,0,6,33.0849318,-3.75139073,6,4,17,0,1,4,1,1994,9,4,3,0,3,0,2,1
0,6,0,6,35.91196769,-5.79362559,6,8,2,0,1,0,1,2004,3,4,3,0,0,0,0,0
0,6,1257,6,36.76604605,-3.39285751,6,5,0,210,1,0,1,2011,3,4,0,0,0,0,0,1
0,6,625,6,37.56451071,-4.18247567,6,5,6,87,1,7,1,2011,17,3,3,0,0,0,0,0
0,2,0,6,33.30381177,-8.95958218,6,2,10,0,1,0,1,2004,3,4,2,0,0,1,0,0
100,6,338,6,38.80660601,-10.56479172,6,7,12,2530,1,0,1,1974,7,4,6,1,0,0,0,0
0,6,0,6,32.74750562,-5.630633,6,3,19,0,0,0,1,1994,9,4,3,0,2,0,1,1
0,2,0,6,32.71120577,-8.81026548,6,2,10,0,0,0,0,2004,15,4,3,0,0,0,1,0
0,6,0,6,33.06037263,-3.83408324,6,0,17,0,1,4,1,2004,8,4,3,0,1,0,1,0
0,6,1286,6,30.5365143,-3.79134872,6,3,5,450,1,0,0,1988,3,4,0,0,0,1,0,0
0,2,458,6,34.73579846,-11.16676157,6,1,16,86,1,0,1,1990,3,4,0,0,2,0,0,1
0,6,326,1,36.36552941,-8.77905499,6,6,11,1,1,5,1,1995,3,4,3,0,0,1,0,0
0,6,0,1,39.11013687,-4.75461109,6,5,20,1,1,0,1,1961,9,4,3,1,2,2,2,1
0,1,1445,6,37.67816216,-3.69879186,6,5,6,80,1,0,0,1972,3,4,3,0,1,0,0,0
250,5,1343,6,30.01709818,-4.33258278,6,3,5,50,1,7,1,1982,3,4,5,0,1,1,0,0
0,6,1499,6,30.70845573,-3.59108444,6,3,5,450,1,0,0,2010,3,4,0,0,1,1,0,0
0,6,0,6,33.83495799,-3.76408399,6,0,17,0,1,0,1,2004,3,4,6,0,0,1,0,0
0,1,1564,1,36.65864318,-3.3307891000000005,6,5,0,150,1,0,1,2002,3,4,3,0,1,0,0,1
0,1,1415,4,37.29307888,-3.2217387000000004,6,5,6,1,0,0,1,1976,3,4,3,0,0,0,2,1
0,6,0,6,33.99969741,-3.56849388,6,0,17,0,1,4,0,2004,8,4,1,0,0,0,1,0
500,6,1822,6,31.53969095,-7.90807484,6,3,15,0,1,0,1,1991,4,4,5,0,3,0,1,0
0,6,1349,6,30.74937852,-3.41197674,6,3,5,500,1,0,0,2008,4,4,0,0,0,0,1,1
0,6,524,1,37.59776312,-6.89558991,1,8,11,450,1,0,1,1970,3,4,3,0,1,1,0,1
0,6,1542,6,34.84539417,-4.26244399,6,0,18,230,1,0,1,1998,0,4,3,0,0,0,1,1
0,6,1491,6,36.90794506,-3.17881406,6,0,0,96,1,0,1,2009,3,4,0,0,1,0,0,0
10,6,1602,6,35.73363834,-3.30450464,6,0,0,150,1,0,1,1992,3,4,6,0,0,1,0,0
0,1,991,1,37.37037474,-3.30815036,6,5,6,100,1,0,0,1963,3,4,0,0,0,0,0,0
0,6,0,5,35.86593887,-5.97347421,2,8,2,0,1,0,0,2004,7,4,6,0,1,0,0,0
0,6,201,6,39.73445071,-10.84665973,6,7,12,1,1,5,1,1982,14,4,3,0,2,0,0,1
0,6,0,6,32.6262126,-9.24781007,6,2,10,0,1,0,0,1994,8,4,2,0,1,0,1,1
0,6,334,6,38.69103275,-10.87666127,6,7,12,36,1,0,1,1978,8,4,3,1,2,0,1,1
0,6,0,6,30.51219714,-2.50530793,6,4,4,0,1,0,0,2004,3,4,3,0,0,0,2,0
0,6,0,6,33.02122705,-3.74548548,6,4,17,0,1,4,1,2004,8,4,3,0,2,0,1,0
0,2,0,6,33.76897675,-9.57524712,6,1,10,0,1,7,1,1994,3,3,3,0,2,0,0,1
0,5,0,6,33.43091711,-4.38908379,6,0,19,0,1,7,0,2004,14,4,3,1,0,0,0,0
0,3,0,3,31.87632762,-3.15255484,6,3,4,0,1,0,1,1994,8,4,3,0,0,0,1,1
0,2,828,6,36.03263045,-10.53104474,1,6,16,900,1,0,1,2010,3,2,3,0,2,1,0,1
0,1,0,6,33.61237059,-8.87481184,6,6,10,0,1,0,1,1994,3,4,4,0,2,1,0,1
0,2,0,6,33.8783666,-9.63286017,6,1,10,0,1,0,1,1994,3,4,3,0,2,0,0,1
0,1,0,1,30.71672742,-1.28905466,6,4,4,0,1,2,1,1994,9,4,3,0,0,0,2,1
0,6,290,6,38.86287361,-7.16541013,3,8,14,500,1,3,0,1997,8,3,3,0,2,0,1,1
0,6,1230,6,30.4743807,-3.59878746,6,3,5,350,1,0,0,1990,4,4,0,0,0,0,1,1
0,6,1632,1,32.0258239,-8.93900583,6,2,15,200,1,0,0,1984,4,4,3,0,1,0,1,0
0,6,-32,6,40.30198716,-10.32095944,6,7,12,500,1,2,1,1971,9,4,0,1,0,0,2,1
0,6,237,1,38.78345753,-5.10821911,6,5,20,150,1,0,0,1999,3,4,3,0,3,0,0,1
0,6,0,6,36.35396378,-6.22393508,6,8,2,0,1,0,1,2004,3,1,3,0,3,1,0,0
0,1,-19,1,39.46211242,-8.85092324,6,7,7,600,1,2,1,2004,3,4,3,0,0,0,2,0
0,6,1715,1,31.36602526,-7.97201012,6,3,15,1,0,0,1,1974,6,4,3,0,0,0,0,1
600,6,847,1,29.69182833,-4.83944178,6,3,5,450,1,4,1,2009,3,4,5,0,0,1,0,0
200,1,482,2,34.89217109,-11.35532944,6,1,16,86,1,0,1,2008,3,4,5,0,0,0,0,0
0,6,0,6,36.04584041,-5.92990107,1,8,2,0,1,0,0,1994,7,4,6,0,2,0,0,1
0,6,330,6,38.36129061,-9.94014777,6,7,7,350,0,0,1,1978,7,4,0,1,2,0,0,1
0,6,1652,1,34.59648052,-9.08290229,6,6,3,25,1,6,1,1994,3,4,2,0,0,1,0,0
0,4,0,1,33.50643109,-3.28863325,6,4,17,0,1,4,0,2004,8,4,0,0,0,0,1,0
0,6,0,1,34.06791698,-3.17625599,6,0,17,0,1,4,0,2004,8,4,1,0,1,0,1,0
5000,2,572,6,37.16959606,-10.87676104,6,7,16,1,1,0,0,1998,15,4,4,0,0,0,1,0
0,1,0,6,35.70202678,-5.63404591,6,0,2,0,1,0,1,1994,7,4,3,0,1,0,0,1
1000,6,2179,6,34.41769364,-9.21264691,6,6,3,75,1,0,1,2000,3,4,4,0,2,0,0,1
200,6,293,1,36.85533064,-7.95071025,6,6,11,300,1,2,1,1984,15,4,5,0,1,0,1,0
0,6,1666,1,31.86585448,-8.65868897,6,2,15,240,1,0,0,2008,4,4,3,0,0,0,1,0
0,6,0,6,33.46782217,-4.03006799,1,0,19,0,1,2,0,2004,9,0,0,0,1,1,0,0
200,6,887,1,36.714157,-8.73986417,6,6,11,203,1,6,1,1995,3,4,5,0,0,0,0,0
0,1,0,6,36.55763103,-6.23339413,6,8,2,0,1,0,0,1994,3,4,3,0,2,0,0,1
2000,6,1479,1,36.6901363,-3.34459861,6,5,0,200,1,0,1,1999,3,4,5,0,0,0,0,0
0,6,1604,6,35.51442025,-4.41280954,6,0,8,215,1,0,1,2005,3,4,3,0,1,0,0,0
